Taxon	BCD1	BCD2	BCP1	BCP2	BD1	BD4	BP1	BP4	CD1	CD2	CD3	CD4	CD5	CD8	CP1	CP2	CP3	CP4	CP5	CP8
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIII;Anaerovorax	0.0	0.0	4.97190871576e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114106404222	0.0	0.0	4.16215766253e-05	0.000117403044652	0.0	0.000405877100414	3.71002448616e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIII;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.37349661054e-05	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIV;Blautia	0.000125407574618	0.0	4.97190871576e-05	0.0	0.0	0.0	0.0	0.0	0.000424688561721	0.000837262591989	0.00203045685279	0.000748327954726	0.00057053202111	0.000481084627159	0.000343288705802	0.000208107883127	0.000234806089305	0.00101867572156	0.000730578780745	0.000111300734585
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerosporobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71644352901e-05	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53907134768e-05	8.81329044199e-05	5.34330750735e-05	0.0	0.0	0.0	0.000274630964641	0.0	7.82686964349e-05	8.48896434635e-05	8.11754200828e-05	7.42004897232e-05
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea	0.00526711813394	0.00900900900901	0.00904887386268	0.0263157894737	0.00896860986547	0.00985221674877	0.0	0.0	0.00499009060023	0.00189485744503	0.00293881912904	0.0173518544502	0.00941377834831	0.00266783293243	0.0150532097494	0.00553566969117	0.00860955660783	0.00823429541596	0.0107151554509	0.0051198337909
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Hespellia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53907134768e-05	0.0	0.0	9.35409943408e-05	0.0	0.0	0.0	0.0	0.0	0.000424448217317	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Johnsonella	0.0	0.0	0.000149157261473	0.00239234449761	0.00448430493274	0.0	0.00617283950617	0.00806451612903	0.0	0.00017626580884	0.0	9.35409943408e-05	0.000142633005277	0.000262409796632	3.43288705802e-05	0.000124864729876	0.0	0.00025466893039	0.0	0.00178081175336
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia	0.00100326059694	0.0	0.00104410083031	0.00239234449761	0.0	0.0	0.0	0.0	0.00410532276331	4.40664522099e-05	0.000801496126102	0.00203451662691	0.0012836970475	0.000262409796632	0.00629934775146	0.000332972613003	0.00191758306265	0.00191001697793	0.00227291176232	0.00092750612154
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Other	0.0897918234261	0.183183183183	0.216079152787	0.215311004785	0.2466367713	0.23645320197	0.154320987654	0.129032258065	0.0823541902605	0.0804653417353	0.100988511889	0.253753332398	0.272001141064	0.0712005248196	0.290645382767	0.551902106052	0.470394865574	0.34117147708	0.359444760127	0.374044668695
